Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	ORF	Symbol	ID
LINF_050005800	LINF_050005800-T1	Leishmania infantum JPCM5	"LinJ.05:25,296..25,835(+)"	Nudix hydrolase 2 - putative	protein coding	LinJ05.0160	Nudix2	4768050
LINF_050005900	LINF_050005900-T1	Leishmania infantum JPCM5	"LinJ.05:27,639..29,552(+)"	phosphoprotein phosphatase - putative	protein coding	LinJ05.0170	N/A	4768051
LINF_050006000	LINF_050006000-T1	Leishmania infantum JPCM5	"LinJ.05:33,206..33,577(+)"	hypothetical protein - conserved	protein coding	LinJ05.0180	N/A	4768052
LINF_050006100	LINF_050006100-T1	Leishmania infantum JPCM5	"LinJ.05:34,580..35,596(+)"	hypothetical protein - conserved	protein coding	LinJ05.0190	N/A	4768053
LINF_050006200	LINF_050006200-T1	Leishmania infantum JPCM5	"LinJ.05:37,230..38,528(+)"	protein kinase - putative	protein coding	LinJ05.0200	N/A	4768054
LINF_050006300	LINF_050006300-T1	Leishmania infantum JPCM5	"LinJ.05:41,335..43,371(+)"	nucleolar RNA helicase II - putative	rRNA encoding	LinJ05.0210	N/A	4768055
LINF_050006400	LINF_050006400-T1	Leishmania infantum JPCM5	"LinJ.05:45,055..46,380(+)"	Leucine Rich repeat/Leucine rich repeat/Leucine Rich Repeat - putative	protein coding	LinJ05.0070	N/A	4768041
LINF_050006500	LINF_050006500-T1	Leishmania infantum JPCM5	"LinJ.05:47,453..48,994(+)"	hypothetical protein - conserved	protein coding	LinJ05.0080	N/A	4768042
LINF_050006600	LINF_050006600-T1	Leishmania infantum JPCM5	"LinJ.05:49,521..51,800(+)"	hypothetical protein - conserved	protein coding	LinJ05.0090	N/A	4768043
LINF_050006700	LINF_050006700-T1	Leishmania infantum JPCM5	"LinJ.05:53,230..54,663(+)"	dihydrolipoamide branched chain transacylase - putative	protein coding	LinJ05.0100	N/A	4768044
LINF_050006800	LINF_050006800-T1	Leishmania infantum JPCM5	"LinJ.05:56,212..57,297(+)"	Fip1 motif/Zinc finger C-x8-C-x5-C-x3-H type (and similar) - putative	protein coding	LinJ05.0110	N/A	4768045
LINF_050006900	LINF_050006900-T1	Leishmania infantum JPCM5	"LinJ.05:58,181..60,541(+)"	Ferrous iron transport protein B/50S ribosome-binding GTPase - putative	protein coding	LinJ05.0120	N/A	4768046
LINF_050007000	LINF_050007000-T1	Leishmania infantum JPCM5	"LinJ.05:61,299..65,786(+)"	hypothetical protein - conserved	protein coding	LinJ05.0130	N/A	4768047
LINF_050007200	LINF_050007200-T1	Leishmania infantum JPCM5	"LinJ.05:74,004..75,905(+)"	hydrogenase - putative	protein coding	LinJ05.0330	N/A	4768067
LINF_050007300	LINF_050007300-T1	Leishmania infantum JPCM5	"LinJ.05:77,594..82,544(+)"	viscerotropic leishmaniasis antigen - putative	protein coding	LinJ05.0340	N/A	4768068
LINF_050007400	LINF_050007400-T1	Leishmania infantum JPCM5	"LinJ.05:84,329..84,622(+)"	hypothetical protein - conserved	protein coding	LinJ05.0220	N/A	4768056
LINF_050007500	LINF_050007500-T1	Leishmania infantum JPCM5	"LinJ.05:85,312..86,472(+)"	Ankyrin repeat - putative	protein coding	LinJ05.0230	N/A	4768057
LINF_050007600	LINF_050007600-T1	Leishmania infantum JPCM5	"LinJ.05:87,457..88,416(+)"	hypothetical protein - conserved	protein coding	LinJ05.0240	N/A	4768058
LINF_050007700	LINF_050007700-T1	Leishmania infantum JPCM5	"LinJ.05:89,017..89,691(+)"	protein tyrosine phosphatase - putative	protein coding	LinJ05.0250	N/A	4768059
LINF_050007800	LINF_050007800-T1	Leishmania infantum JPCM5	"LinJ.05:91,483..92,004(+)"	ARP2/3 complex 16kDa subunit - putative	protein coding	LinJ05.0260	N/A	4768060
LINF_050007900	LINF_050007900-T1	Leishmania infantum JPCM5	"LinJ.05:93,542..94,999(+)"	phosphate carrier protein - mitochondrial precursor-like protein	protein coding	LinJ05.0270	N/A	4768061
LINF_050008000	LINF_050008000-T1	Leishmania infantum JPCM5	"LinJ.05:95,835..97,880(+)"	hypothetical protein - conserved	protein coding	LinJ05.0280	N/A	4768062
LINF_050008100	LINF_050008100-T1	Leishmania infantum JPCM5	"LinJ.05:98,587..99,129(+)"	monothiol glutaredoxin - putative	protein coding	LinJ05.0290	N/A	4768064
LINF_050008300	LINF_050008300-T1	Leishmania infantum JPCM5	"LinJ.05:100,522..103,515(+)"	DNA replication licensing factor MCM8 - putative	protein coding	LinJ05.0300	N/A	4768065
LINF_050008400	LINF_050008400-T1	Leishmania infantum JPCM5	"LinJ.05:104,314..105,429(+)"	hypothetical protein - conserved	protein coding	LinJ05.0310	N/A	4768066
LINF_050008500	LINF_050008500-T1	Leishmania infantum JPCM5	"LinJ.05:106,886..108,361(+)"	trypanothione reductase	protein coding	LinJ05.0350	TRYR	4768069
LINF_050008600	LINF_050008600-T1	Leishmania infantum JPCM5	"LinJ.05:109,316..111,193(+)"	ATP-dependent RNA helicase - putative	protein coding	LinJ05.0360	N/A	4768070
LINF_050008700	LINF_050008700-T1	Leishmania infantum JPCM5	"LinJ.05:112,005..112,991(+)"	hypothetical protein - conserved	protein coding	LinJ05.0370	N/A	4768071
LINF_050008800	LINF_050008800-T1	Leishmania infantum JPCM5	"LinJ.05:114,679..119,877(+)"	microtubule-associated protein - putative	protein coding	LinJ05.0380	N/A	4768072
LINF_050008900	LINF_050008900-T1	Leishmania infantum JPCM5	"LinJ.05:126,235..128,604(+)"	protein kinase - putative	protein coding	LinJ05.0390	N/A	4768073
LINF_050009000	LINF_050009000-T1	Leishmania infantum JPCM5	"LinJ.05:130,656..134,288(+)"	structural maintenance of chromosome (SMC) - putative	protein coding	LinJ05.0400	N/A	4768074
LINF_050009100	LINF_050009100-T1	Leishmania infantum JPCM5	"LinJ.05:135,308..138,070(+)"	Tetratricopeptide repeat/TPR repeat - putative	protein coding	LinJ05.0410	N/A	4768075
LINF_050009200	LINF_050009200-T1	Leishmania infantum JPCM5	"LinJ.05:139,037..139,372(+)"	dynein-light chain-protein - putative	protein coding	LinJ05.0420	N/A	4768076
LINF_050009300	LINF_050009300-T1	Leishmania infantum JPCM5	"LinJ.05:142,084..144,111(+)"	hypothetical protein - conserved	protein coding	LinJ05.0430	N/A	4768077
LINF_050009400	LINF_050009400-T1	Leishmania infantum JPCM5	"LinJ.05:144,658..147,219(+)"	hypothetical protein - conserved	protein coding	LinJ05.0440	N/A	4768078
LINF_050009500	LINF_050009500-T1	Leishmania infantum JPCM5	"LinJ.05:148,497..149,087(+)"	hypothetical protein - conserved	protein coding	LinJ05.0450	N/A	4768079
LINF_050009600	LINF_050009600-T1	Leishmania infantum JPCM5	"LinJ.05:149,954..151,837(+)"	GTPase - putative	protein coding	LinJ05.0460	N/A	4768080
LINF_050009700	LINF_050009700-T1	Leishmania infantum JPCM5	"LinJ.05:153,344..154,072(+)"	hypothetical protein - conserved	protein coding	LinJ05.0470	N/A	4768081
LINF_050009800	LINF_050009800-T1	Leishmania infantum JPCM5	"LinJ.05:155,084..156,808(+)"	monocarboxylate transporter-like protein	protein coding	LinJ05.0480	N/A	4768082
LINF_050009900	LINF_050009900-T1	Leishmania infantum JPCM5	"LinJ.05:160,374..160,877(+)"	hypothetical protein - conserved	protein coding	LinJ05.0490	N/A	4768083
LINF_050010000	LINF_050010000-T1	Leishmania infantum JPCM5	"LinJ.05:162,671..164,395(+)"	ATP synthase F1 - alpha subunit - putative	protein coding	LinJ05.0500	ATPF1A	4768084
LINF_050010100	LINF_050010100-T1	Leishmania infantum JPCM5	"LinJ.05:165,792..167,516(+)"	ATP synthase F1 - alpha subunit - putative	protein coding	LinJ05.0510	ATPF1A	4768085
LINF_050010300	LINF_050010300-T1	Leishmania infantum JPCM5	"LinJ.05:173,240..174,262(+)"	nuclear receptor binding factor-like protein	protein coding	LinJ05.0530	N/A	4768087
LINF_050010400	LINF_050010400-T1	Leishmania infantum JPCM5	"LinJ.05:175,068..181,361(+)"	kinetoplast-associated protein-like protein	protein coding	LinJ05.0540	N/A	4768088
LINF_050010500	LINF_050010500-T1	Leishmania infantum JPCM5	"LinJ.05:181,916..182,323(+)"	LSM domain containing protein - putative	protein coding	LinJ05.0550	LSM3	4768089
LINF_050010600	LINF_050010600-T1	Leishmania infantum JPCM5	"LinJ.05:183,738..184,685(+)"	cdc2-related kinase - putative	protein coding	LinJ05.0560	N/A	4768090
LINF_050010700	LINF_050010700-T1	Leishmania infantum JPCM5	"LinJ.05:186,026..187,285(+)"	hypothetical protein - conserved	protein coding	LinJ05.0570	N/A	4768091
LINF_050010800	LINF_050010800-T1	Leishmania infantum JPCM5	"LinJ.05:189,915..191,147(+)"	hypothetical protein - conserved	protein coding	LinJ05.0580	N/A	4768092
LINF_050010900	LINF_050010900-T1	Leishmania infantum JPCM5	"LinJ.05:192,271..194,610(+)"	hypothetical protein - conserved	protein coding	LinJ05.0590	N/A	4768093
LINF_050011000	LINF_050011000-T1	Leishmania infantum JPCM5	"LinJ.05:197,132..200,152(+)"	ATP-dependent RNA helicase - putative	protein coding	LinJ05.0600	N/A	4768094
LINF_050011100	LINF_050011100-T1	Leishmania infantum JPCM5	"LinJ.05:200,818..203,538(+)"	COG4 transport protein - putative	protein coding	LinJ05.0610	N/A	4768095
LINF_050011200	LINF_050011200-T1	Leishmania infantum JPCM5	"LinJ.05:204,292..207,234(+)"	Surp module - putative	protein coding	LinJ05.0620	N/A	4768096
LINF_050011300	LINF_050011300-T1	Leishmania infantum JPCM5	"LinJ.05:208,231..210,909(+)"	hypothetical protein - conserved	protein coding	LinJ05.0630	N/A	4768097
LINF_050011400	LINF_050011400-T1	Leishmania infantum JPCM5	"LinJ.05:211,835..215,512(+)"	kinesin - putative	protein coding	LinJ05.0640	N/A	4768098
LINF_050011500	LINF_050011500-T1	Leishmania infantum JPCM5	"LinJ.05:216,408..222,152(+)"	Ankyrin repeats (many copies)/Ankyrin repeats (3 copies)/Ankyrin repeat - putative	protein coding	LinJ05.0650	N/A	4768099
LINF_050011600	LINF_050011600-T1	Leishmania infantum JPCM5	"LinJ.05:223,722..226,325(+)"	hypothetical protein - conserved	protein coding	LinJ05.0660	N/A	4768100
LINF_050011700	LINF_050011700-T1	Leishmania infantum JPCM5	"LinJ.05:228,919..229,890(+)"	nitroreductase-like protein	protein coding	LinJ05.0670	N/A	4768101
LINF_050011800	LINF_050011800-T1	Leishmania infantum JPCM5	"LinJ.05:231,039..238,550(+)"	hypothetical protein - conserved	protein coding	LinJ05.0680	N/A	4768102
LINF_050011900	LINF_050011900-T1	Leishmania infantum JPCM5	"LinJ.05:240,558..241,598(+)"	sre-2/carboxylate carrier-like protein	protein coding	LinJ05.0690	N/A	4768103
LINF_050012000	LINF_050012000-T1	Leishmania infantum JPCM5	"LinJ.05:242,622..250,919(+)"	Sperm-tail PG-rich repeat - putative	protein coding	LinJ05.0700	N/A	4768104
LINF_050012200	LINF_050012200-T1	Leishmania infantum JPCM5	"LinJ.05:253,529..258,706(+)"	hypothetical protein - conserved	protein coding	LinJ05.0710	N/A	4768105
LINF_050012300	LINF_050012300-T1	Leishmania infantum JPCM5	"LinJ.05:261,661..265,863(+)"	CYC2-like cyclin - putative	protein coding	LinJ05.0720	N/A	4768106
LINF_050012400	LINF_050012400-T1	Leishmania infantum JPCM5	"LinJ.05:267,817..272,148(+)"	phophatase-like protein	protein coding	LinJ05.0730	N/A	4768107
LINF_050012500	LINF_050012500-T1	Leishmania infantum JPCM5	"LinJ.05:273,838..276,063(+)"	hypothetical protein - conserved	protein coding	LinJ05.0740	N/A	4768108
LINF_050012600	LINF_050012600-T1	Leishmania infantum JPCM5	"LinJ.05:277,952..279,046(+)"	Vta1 like - putative	protein coding	LinJ05.0750	N/A	4768109
LINF_050012700	LINF_050012700-T1	Leishmania infantum JPCM5	"LinJ.05:280,251..282,725(+)"	Flavodoxin/Radical SAM superfamily/Wyosine base formation - putative	protein coding	LinJ05.0760	N/A	4768110
LINF_050012800	LINF_050012800-T1	Leishmania infantum JPCM5	"LinJ.05:284,531..288,388(+)"	kinesin-like protein	protein coding	LinJ05.0770	N/A	4768111
LINF_050012900	LINF_050012900-T1	Leishmania infantum JPCM5	"LinJ.05:290,216..294,346(+)"	hypothetical protein - conserved	protein coding	LinJ05.0780	N/A	4768112
LINF_050013000	LINF_050013000-T1	Leishmania infantum JPCM5	"LinJ.05:295,625..296,068(+)"	hypothetical protein - conserved	protein coding	LinJ05.0790	N/A	4768113
LINF_050013100	LINF_050013100-T1	Leishmania infantum JPCM5	"LinJ.05:298,257..299,429(+)"	Mitochondrial glycoprotein - putative	protein coding	LinJ05.0800	N/A	4768114
LINF_050013200	LINF_050013200-T1	Leishmania infantum JPCM5	"LinJ.05:300,033..301,364(+)"	MYND zinc finger (ZnF) domain-like protein	protein coding	LinJ05.0810	N/A	4768115
LINF_050013300	LINF_050013300-T1	Leishmania infantum JPCM5	"LinJ.05:302,170..302,661(+)"	Got1/Sft2-like family - putative	protein coding	LinJ05.0820	N/A	4768116
LINF_050013400	LINF_050013400-T1	Leishmania infantum JPCM5	"LinJ.05:303,651..306,476(+)"	hypothetical protein - conserved	protein coding	LinJ05.0830	N/A	4768117
LINF_050013500	LINF_050013500-T1	Leishmania infantum JPCM5	"LinJ.05:307,552..308,472(+)"	methylthioadenosine phosphorylase - putative	protein coding	LinJ05.0840	N/A	4768118
LINF_050013600	LINF_050013600-T1	Leishmania infantum JPCM5	"LinJ.05:311,450..315,715(+)"	hypothetical protein - conserved	protein coding	LinJ05.0850	N/A	4768119
LINF_050013700	LINF_050013700-T1	Leishmania infantum JPCM5	"LinJ.05:317,061..319,061(+)"	zinc-finger of a C2HC-type - putative	protein coding	LinJ05.0860	N/A	4768120
LINF_050013800	LINF_050013800-T1	Leishmania infantum JPCM5	"LinJ.05:320,154..320,621(+)"	hypothetical protein - conserved	protein coding	LinJ05.0870	N/A	4768121
LINF_050013900	LINF_050013900-T1	Leishmania infantum JPCM5	"LinJ.05:321,415..327,237(+)"	hypothetical protein - conserved	protein coding	LinJ05.0880	N/A	4768122
LINF_050014000	LINF_050014000-T1	Leishmania infantum JPCM5	"LinJ.05:328,190..328,807(+)"	hypothetical protein - conserved	protein coding	LinJ05.0890	N/A	4768123
LINF_050014100	LINF_050014100-T1	Leishmania infantum JPCM5	"LinJ.05:330,014..335,965(+)"	CPSF A subunit region containing protein - putative	protein coding	LinJ05.0900	N/A	4768124
LINF_050014200	LINF_050014200-T1	Leishmania infantum JPCM5	"LinJ.05:337,129..337,989(+)"	surface antigen-like protein	protein coding	LinJ05.0910	N/A	4768125
LINF_050014300	LINF_050014300-T1	Leishmania infantum JPCM5	"LinJ.05:339,792..343,100(+)"	hypothetical protein - conserved	protein coding	LinJ05.0920	N/A	4768126
LINF_050014400	LINF_050014400-T1	Leishmania infantum JPCM5	"LinJ.05:343,601..346,867(+)"	paraflagellar rod protein - putative	protein coding	LinJ05.0930	N/A	4768127
LINF_050014500	LINF_050014500-T1	Leishmania infantum JPCM5	"LinJ.05:348,711..350,108(+)"	ubiquitin-conjugating enzyme E2 - putative	protein coding	LinJ05.0940	N/A	4768128
LINF_050014600	LINF_050014600-T1	Leishmania infantum JPCM5	"LinJ.05:351,102..355,055(+)"	hypothetical protein - conserved	protein coding	LinJ05.0950	N/A	4768129
LINF_050014700	LINF_050014700-T1	Leishmania infantum JPCM5	"LinJ.05:357,107..359,830(+)"	glutaminyl cyclase - putative	protein coding	LinJ05.0960	N/A	4768130
LINF_050014800	LINF_050014800-T1	Leishmania infantum JPCM5	"LinJ.05:361,111..363,150(+)"	metallo-peptidase - Clan M- - Family M49	protein coding	LinJ05.0970	N/A	4768131
LINF_050015100	LINF_050015100-T1	Leishmania infantum JPCM5	"LinJ.05:372,567..373,679(-)"	3-mercaptopyruvate sulfurtransferase	protein coding	LinJ05.0980	MST	4768132
LINF_050015200	LINF_050015200-T1	Leishmania infantum JPCM5	"LinJ.05:375,084..376,529(-)"	NADH-ubiquinone oxidoreductase - mitochondrial - putative	protein coding	LinJ05.0990	N/A	4768133
LINF_050015300	LINF_050015300-T1	Leishmania infantum JPCM5	"LinJ.05:377,226..377,495(-)"	hypothetical protein - conserved	protein coding	LinJ05.1000	N/A	4768134
LINF_050015400	LINF_050015400-T1	Leishmania infantum JPCM5	"LinJ.05:379,294..379,605(-)"	hypothetical protein - conserved	protein coding	LinJ05.1010	N/A	4768135
LINF_050015500	LINF_050015500-T1	Leishmania infantum JPCM5	"LinJ.05:380,475..382,319(-)"	methyltransferase-like protein	protein coding	LinJ05.1020	N/A	4768136
LINF_050015600	LINF_050015600-T1	Leishmania infantum JPCM5	"LinJ.05:383,270..386,029(-)"	hypothetical protein - conserved	protein coding	LinJ05.1030	N/A	4768137
LINF_050015700	LINF_050015700-T1	Leishmania infantum JPCM5	"LinJ.05:386,548..386,985(-)"	hypothetical protein - conserved	protein coding	LinJ05.1040	N/A	4768138
LINF_050015800	LINF_050015800-T1	Leishmania infantum JPCM5	"LinJ.05:387,480..388,553(-)"	stomatin-like protein	protein coding	LinJ05.1050	N/A	4768139
LINF_050015850	LINF_050015850-T1	Leishmania infantum JPCM5	"LinJ.05:390,005..391,336(+)"	hypothetical protein	protein coding	LinJ05.1060	N/A	4768140
LINF_050015900	LINF_050015900-T1	Leishmania infantum JPCM5	"LinJ.05:392,277..393,713(+)"	ATPase - putative	protein coding	LinJ05.1070	N/A	4768141
LINF_050016000	LINF_050016000-T1	Leishmania infantum JPCM5	"LinJ.05:394,509..396,062(+)"	Legume-like lectin family - putative	protein coding	LinJ05.1080	N/A	4768142
LINF_050016100	LINF_050016100-T1	Leishmania infantum JPCM5	"LinJ.05:397,415..399,595(+)"	Phosphatidylinositol 4-phosphate 5-kinase - putative	protein coding	LinJ05.1090	N/A	4768143
LINF_050016200	LINF_050016200-T1	Leishmania infantum JPCM5	"LinJ.05:402,164..403,888(+)"	double-strand-break repair protein rad21 homolog - putative	protein coding	LinJ05.1100	N/A	4768144
LINF_050016300	LINF_050016300-T1	Leishmania infantum JPCM5	"LinJ.05:406,190..406,927(+)"	Nodulation protein S (NodS)/Methyltransferase domain containing protein - putative	protein coding	LinJ05.1110	N/A	4768145
LINF_050016400	LINF_050016400-T1	Leishmania infantum JPCM5	"LinJ.05:410,856..414,587(+)"	hypothetical protein - conserved	protein coding	LinJ05.1120	N/A	4768146
LINF_050016500	LINF_050016500-T1	Leishmania infantum JPCM5	"LinJ.05:417,756..418,094(+)"	hypothetical protein - conserved	protein coding	LinJ05.1130	N/A	4768147
LINF_050016600	LINF_050016600-T1	Leishmania infantum JPCM5	"LinJ.05:421,200..422,978(-)"	hypothetical protein - conserved	protein coding	LinJ05.1140	N/A	4768148
LINF_050016800	LINF_050016800-T1	Leishmania infantum JPCM5	"LinJ.05:425,335..428,085(-)"	hypothetical protein - unknown function	protein coding	LinJ05.1160	N/A	4768149
LINF_050017000	LINF_050017000-T1	Leishmania infantum JPCM5	"LinJ.05:430,468..431,217(-)"	fatty acid elongase - putative	protein coding	LinJ05.1170	N/A	4768150
LINF_050017100	LINF_050017100-T1	Leishmania infantum JPCM5	"LinJ.05:431,793..433,169(-)"	hypothetical protein - conserved	protein coding	LinJ05.1180	N/A	4768151
LINF_050017200	LINF_050017200-T1	Leishmania infantum JPCM5	"LinJ.05:435,063..440,942(-)"	hypothetical protein - conserved	protein coding	LinJ05.1190	N/A	4768152
LINF_050017300	LINF_050017300-T1	Leishmania infantum JPCM5	"LinJ.05:441,325..441,732(-)"	prefoldin subunit - putative	protein coding	LinJ05.1200	N/A	4768153
LINF_050017400	LINF_050017400-T1	Leishmania infantum JPCM5	"LinJ.05:442,721..443,911(-)"	protein phosphatase type 1 regulator-like protein	protein coding	LinJ05.1210	N/A	4768154
LINF_060005000	LINF_060005000-T1	Leishmania infantum JPCM5	"LinJ.06:2,108..2,410(-)"	histone H4	protein coding	LinJ06.0010	N/A	4768158
LINF_060005100	LINF_060005100-T1	Leishmania infantum JPCM5	"LinJ.06:4,597..6,204(-)"	hypothetical protein - conserved	protein coding	LinJ06.0020	N/A	4768159
LINF_060005200	LINF_060005200-T1	Leishmania infantum JPCM5	"LinJ.06:11,888..13,915(-)"	WD domain - G-beta repeat - putative	protein coding	LinJ06.0030	N/A	4768160
LINF_060005300	LINF_060005300-T1	Leishmania infantum JPCM5	"LinJ.06:14,773..15,648(-)"	39S mitochondrial ribosomal protein L46 - putative	protein coding	LinJ06.0040	N/A	4768161
LINF_060005400	LINF_060005400-T1	Leishmania infantum JPCM5	"LinJ.06:21,154..22,566(-)"	pumilio/PUF RNA binding protein 5 - putative	protein coding	LinJ06.0050	PUF5	4768162
LINF_060005500	LINF_060005500-T1	Leishmania infantum JPCM5	"LinJ.06:26,678..27,646(-)"	hypothetical protein - conserved	protein coding	LinJ06.0060	N/A	4768163
LINF_060005600	LINF_060005600-T1	Leishmania infantum JPCM5	"LinJ.06:29,314..30,684(-)"	hypothetical protein	protein coding	LinJ06.0070	N/A	4768164
LINF_060005800	LINF_060005800-T1	Leishmania infantum JPCM5	"LinJ.06:33,002..34,975(-)"	ATP-binding cassette protein subfamily G - member 1 - putative	protein coding	LinJ06.0080	ABCG1	4768165
LINF_060005900	LINF_060005900-T1	Leishmania infantum JPCM5	"LinJ.06:38,440..40,431(-)"	ATP-binding cassette protein subfamily G - member 1 - putative	protein coding	LinJ06.0090	ABCG2	4768166
LINF_060006100	LINF_060006100-T1	Leishmania infantum JPCM5	"LinJ.06:44,530..45,366(-)"	ATP-binding cassette protein subfamily G - member 3 - putative	protein coding	LinJ06.0100	ABCG3	4768167
LINF_060006200	LINF_060006200-T1	Leishmania infantum JPCM5	"LinJ.06:46,982..48,787(-)"	hypothetical protein - conserved	protein coding	LinJ06.0110	N/A	4768168
LINF_060006300	LINF_060006300-T1	Leishmania infantum JPCM5	"LinJ.06:50,139..50,702(-)"	cyclophilin	protein coding	LinJ06.0120	CYP2	4768169
LINF_060006400	LINF_060006400-T1	Leishmania infantum JPCM5	"LinJ.06:51,646..52,206(-)"	Domain of unknown function (DUF1768) - putative	protein coding	LinJ06.0130	N/A	4768170
LINF_060006500	LINF_060006500-T1	Leishmania infantum JPCM5	"LinJ.06:53,741..54,484(-)"	20S proteasome beta 6 subunit - putative	protein coding	LinJ06.0140	N/A	4768171
LINF_060006600	LINF_060006600-T1	Leishmania infantum JPCM5	"LinJ.06:55,317..55,646(-)"	hypothetical protein - conserved	protein coding	LinJ06.0150	N/A	4768172
LINF_060006700	LINF_060006700-T1	Leishmania infantum JPCM5	"LinJ.06:56,273..57,637(-)"	HD domain containing protein - putative	protein coding	LinJ06.0160	N/A	4768173
LINF_060006800	LINF_060006800-T1	Leishmania infantum JPCM5	"LinJ.06:59,006..59,431(-)"	Trm112p-like protein - putative	protein coding	LinJ06.0170	N/A	4768174
LINF_060006900	LINF_060006900-T1	Leishmania infantum JPCM5	"LinJ.06:59,922..61,910(-)"	kinesin-like protein	protein coding	LinJ06.0180	N/A	4768175
LINF_060007000	LINF_060007000-T1	Leishmania infantum JPCM5	"LinJ.06:63,491..65,254(-)"	hypothetical protein - conserved	protein coding	LinJ06.0190	N/A	4768176
LINF_060007100	LINF_060007100-T1	Leishmania infantum JPCM5	"LinJ.06:67,141..68,634(-)"	hypothetical protein - conserved	protein coding	LinJ06.0200	N/A	4768177
LINF_060007400	LINF_060007400-T1	Leishmania infantum JPCM5	"LinJ.06:71,211..73,214(-)"	FHA domain containing protein - putative	protein coding	LinJ06.0210	N/A	4768178
LINF_060007500	LINF_060007500-T1	Leishmania infantum JPCM5	"LinJ.06:74,118..74,978(-)"	hypothetical protein - conserved	protein coding	LinJ06.0220	N/A	4768179
LINF_060007600	LINF_060007600-T1	Leishmania infantum JPCM5	"LinJ.06:75,669..76,310(-)"	hypothetical protein - conserved	protein coding	LinJ06.0230	N/A	4768180
LINF_060007700	LINF_060007700-T1	Leishmania infantum JPCM5	"LinJ.06:77,414..79,957(-)"	hypothetical protein - conserved	protein coding	LinJ06.0240	POMP34	4768181
LINF_060007800	LINF_060007800-T1	Leishmania infantum JPCM5	"LinJ.06:81,853..82,689(-)"	hypothetical protein - conserved	protein coding	LinJ06.0250	N/A	4768182
LINF_060007900	LINF_060007900-T1	Leishmania infantum JPCM5	"LinJ.06:84,476..88,975(-)"	5'-3' exoribonuclease A - putative	protein coding	LinJ06.0260	XRNA	4768183
LINF_060008000	LINF_060008000-T1	Leishmania infantum JPCM5	"LinJ.06:91,362..92,300(-)"	hypothetical protein - conserved	protein coding	LinJ06.0270	N/A	4768184
LINF_060008100	LINF_060008100-T1	Leishmania infantum JPCM5	"LinJ.06:93,006..95,573(-)"	hypothetical protein - conserved	protein coding	LinJ06.0280	N/A	4768185
LINF_060008200	LINF_060008200-T1	Leishmania infantum JPCM5	"LinJ.06:97,735..98,487(-)"	ribonuclease H1 - putative	protein coding	LinJ06.0290	N/A	4768186
LINF_060008300	LINF_060008300-T1	Leishmania infantum JPCM5	"LinJ.06:100,775..101,284(-)"	MYND finger domain-like protein	protein coding	LinJ06.0300	N/A	4768187
LINF_060008400	LINF_060008400-T1	Leishmania infantum JPCM5	"LinJ.06:105,156..107,189(-)"	pteridine transporter (truncated) - putative	protein coding	LinJ06.0310	N/A	4768188
LINF_060008500	LINF_060008500-T1	Leishmania infantum JPCM5	"LinJ.06:107,784..110,858(-)"	hypothetical protein - conserved	protein coding	LinJ06.0320	N/A	4768189
LINF_060008600	LINF_060008600-T1	Leishmania infantum JPCM5	"LinJ.06:112,329..115,883(-)"	hypothetical protein - conserved	protein coding	LinJ06.0330	N/A	4768190
LINF_060008700	LINF_060008700-T1	Leishmania infantum JPCM5	"LinJ.06:116,619..119,336(-)"	serine peptidase - clan SC - family S9A-like protein	protein coding	LinJ06.0340	N/A	4768191
LINF_060008800	LINF_060008800-T1	Leishmania infantum JPCM5	"LinJ.06:120,089..121,312(-)"	NAD(P)-dependent steroid dehydrogenase protein - putative	protein coding	LinJ06.0350	N/A	4768192
LINF_060008900	LINF_060008900-T1	Leishmania infantum JPCM5	"LinJ.06:121,898..123,253(-)"	hypothetical protein - conserved	protein coding	LinJ06.0360	N/A	4768193
LINF_060009000	LINF_060009000-T1	Leishmania infantum JPCM5	"LinJ.06:129,917..131,056(+)"	glutamine synthetase - putative	protein coding	LinJ06.0370	N/A	4768194
LINF_060009100	LINF_060009100-T1	Leishmania infantum JPCM5	"LinJ.06:131,944..133,068(+)"	Zinc finger C-x8-C-x5-C-x3-H type (and similar) - putative	protein coding	LinJ06.0380	POMP35	4768195
LINF_060009200	LINF_060009200-T1	Leishmania infantum JPCM5	"LinJ.06:134,020..136,743(+)"	hypothetical protein - conserved	protein coding	LinJ06.0390	N/A	4768196
LINF_060009300	LINF_060009300-T1	Leishmania infantum JPCM5	"LinJ.06:137,225..137,527(+)"	Fructose-bisphosphate aldolase class-I - putative	protein coding	LinJ06.0400	N/A	4768197
LINF_060009400	LINF_060009400-T1	Leishmania infantum JPCM5	"LinJ.06:140,025..140,762(+)"	Ribosomal protein L19e - putative	protein coding	LinJ06.0410	N/A	4768198
LINF_060009500	LINF_060009500-T1	Leishmania infantum JPCM5	"LinJ.06:142,079..142,648(+)"	hypothetical protein - conserved	protein coding	LinJ06.0420	N/A	4768201
LINF_060009600	LINF_060009600-T1	Leishmania infantum JPCM5	"LinJ.06:143,443..144,159(+)"	60S ribosomal protein L19 - putative	protein coding	LinJ06.0430	N/A	4768202
LINF_060009700	LINF_060009700-T1	Leishmania infantum JPCM5	"LinJ.06:146,291..148,009(+)"	hypothetical protein - conserved	protein coding	LinJ06.0440	N/A	4768203
